,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4: Incident type 2015-2019,,,,,,,,,,,,,,,,,,,,,,,,,
Outage_OIS_Number,Date,Time,Latitude,Longitude,Circuit Name,Type of Equipment Involved,Facility Identification,Voltage,Overhead/Underground,,,,,,,,,,,,,,,,
1225335,4/26/15,3:55:00 PM,34.8546667,-120.5239933,DIVIDE-1103,Conductor,2 poles load side 7455,12000,OH,,,,,,,,,,,,,,,,
1226438,4/28/15,3:20:00 PM,36.7504334,-119.7483094,BARTON-1110,Conductor,100842188,12000,OH,,,,,,,,,,,,,,,,
1228494,5/2/15,6:18:00 PM,38.20382,-121.26438,LODI-1102,Conductor,103765745,12000,OH,,,,,,,,,,,,,,,,
1228473,5/2/15,5:12:00 PM,37.32843,-119.64296,OAKHURST-1102,Conductor,103768995,12000,OH,,,,,,,,,,,,,,,,
1230175,5/6/15,10:33:00 PM,39.810395,-122.329176,GLENN-1101,Lightning Arrestor,BLACK BUTTE,12000,OH,,,,,,,,,,,,,,,,
1230099,5/6/15,5:24:00 PM,37.42727,-119.8802767,MARIPOSA-2102,Other,BOOSTER 8179 INDIAN PEEK N/O MIWUK,21000,OH,,,,,,,,,,,,,,,,
1230475,5/7/15,9:06:00 AM,39.237985,-121.58751,HONCUT-1102,Conductor,101331086,12000,OH,,,,,,,,,,,,,,,,
1231758,5/8/15,2:54:00 PM,38.77552999,-121.50642,CATLETT-1101,Fuse,mtr # 03650R,12000,OH,,,,,,,,,,,,,,,,
1232020,5/9/15,3:38:00 PM,39.23429,-121.246825,NARROWS-2105,Conductor,100000103,21000,OH,,,,,,,,,,,,,,,,
1232133,5/9/15,9:07:00 PM,39.28477,-121.021919,BRUNSWICK-1103,Fuse,100000103,12000,OH,,,,,,,,,,,,,,,,
TR5690751,5/10/15,4:28:00 PM,37.783158,-120.793321,COTTLE-1701,Conductor,9956 Dillwood rd.,17000,OH,,,,,,,,,,,,,,,,
1232841,5/11/15,4:23:00 PM,39.2804483,-123.2067367,MENDOCINO-1101,Conductor,"9502 EAST RD., REDWOOD VALLEY",12000,OH,,,,,,,,,,,,,,,,
1232519,5/11/15,7:30:00 AM,38.123345,-121.3708333,EIGHT-MILE-2101,Conductor,102075242,21000,OH,,,,,,,,,,,,,,,,
1233529,5/12/15,11:07:00 PM,39.1851417,-121.6804133,PEASE-1103,Transformer,101303383,12000,OH,,,,,,,,,,,,,,,,
1234053,5/13/15,10:44:00 PM,37.49422,-122.3680333,HALF-MOON-BAY-1101,Conductor,103492873,12000,OH,,,,,,,,,,,,,,,,
1234337,5/14/15,11:10:00 AM,37.05514,-120.31699,DAIRYLAND-1112,Conductor,S/O 10696 AVE. 19 1/2,12000,OH,,,,,,,,,,,,,,,,
1236077,5/18/15,3:31:00 AM,39.4317171,-121.7259367,TRES-VIAS-1101,Conductor,OJ 13 N/OF 1097{OJ 13 N/OF 1097},12000,OH,,,,,,,,,,,,,,,,
1236969,5/19/15,1:15:00 PM,37.92734,-122.08633,LAKEWOOD-2107,Switch,100476269,21000,OH,,,,,,,,,,,,,,,,
TR5716690,5/21/15,6:44:00 AM,36.21518,-121.164586,LOS-OSITOS-2102,Unknown,3 pole structure east side 101 south of central,21000,OH,,,,,,,,,,,,,,,,
